Date;Symbol;Indexvalue
28.03.2022;V6I1;30.8133
29.03.2022;V6I1;26.793
30.03.2022;V6I1;28.4132
31.03.2022;V6I1;29.3875
01.04.2022;V6I1;28.3533
04.04.2022;V6I1;26.3126
05.04.2022;V6I1;28.6104
06.04.2022;V6I1;31.9791
07.04.2022;V6I1;32.8702
08.04.2022;V6I1;31.2633
11.04.2022;V6I1;31.115
12.04.2022;V6I1;32.6428
19.04.2022;V6I1;27.4807
20.04.2022;V6I1;24.956
21.04.2022;V6I1;24.4245
22.04.2022;V6I1;28.2448
25.04.2022;V6I1;31.5821
26.04.2022;V6I1;32.8759
27.04.2022;V6I1;33.0023
28.04.2022;V6I1;31.2268
29.04.2022;V6I1;30.515
02.05.2022;V6I1;34.3283
03.05.2022;V6I1;31.1888
04.05.2022;V6I1;31.5088
05.05.2022;V6I1;33.674
06.05.2022;V6I1;32.7043
09.05.2022;V6I1;37.059
10.05.2022;V6I1;36.0883
11.05.2022;V6I1;30.7727
12.05.2022;V6I1;32.8108
13.05.2022;V6I1;27.372
16.05.2022;V6I1;29.261
17.05.2022;V6I1;26.8076
18.05.2022;V6I1;31.9381
23.05.2022;V6I1;27.3133
24.05.2022;V6I1;28.2576
25.05.2022;V6I1;27.0355
26.05.2022;V6I1;25.1094
27.05.2022;V6I1;22.9303
30.05.2022;V6I1;22.9894
31.05.2022;V6I1;24.8179
01.06.2022;V6I1;25.2097
02.06.2022;V6I1;22.8198
03.06.2022;V6I1;22.2833
06.06.2022;V6I1;22.8035
07.06.2022;V6I1;23.4025
08.06.2022;V6I1;23.2467
09.06.2022;V6I1;24.6166
10.06.2022;V6I1;29.5786
13.06.2022;V6I1;39.2662
14.06.2022;V6I1;39.2982
15.06.2022;V6I1;43.337
20.06.2022;V6I1;28.3673
21.06.2022;V6I1;27.9182
22.06.2022;V6I1;28.5202
23.06.2022;V6I1;29.222
24.06.2022;V6I1;27.6618
27.06.2022;V6I1;26.8373
28.06.2022;V6I1;26.3317
29.06.2022;V6I1;27.7667
30.06.2022;V6I1;29.8892
01.07.2022;V6I1;28.0761
04.07.2022;V6I1;27.8519
05.07.2022;V6I1;32.7229
06.07.2022;V6I1;30.4144
07.07.2022;V6I1;27.6492
08.07.2022;V6I1;25.3255
11.07.2022;V6I1;29.8952
12.07.2022;V6I1;30.8403
